PreNro,TdesdeLiquidacion,Flag90,Plazo
4292,0,0,24
4292,1,0,24
4292,2,0,24
4292,3,0,24
4292,4,0,24
4292,5,0,24
4292,6,0,24
4292,7,0,24
4292,8,0,24
4292,9,0,24
4292,10,0,24
4292,11,0,24
4292,12,0,24
4292,13,0,24
4292,14,0,24
4292,15,0,24
4292,16,0,24
4292,17,0,24
4292,18,0,24
4292,19,0,24
4292,20,0,24
4292,21,0,24
4292,22,0,24
4292,23,0,24
4292,24,0,24
4293,0,0,24
4293,1,0,24
4293,2,0,24
4293,3,0,24
4293,4,0,24
4293,5,0,24
4293,6,0,24
4293,7,0,24
4293,8,0,24
4293,9,0,24
4293,10,0,24
4293,11,0,24
4293,12,0,24
4293,13,0,24
4293,14,0,24
4293,15,0,24
4293,16,0,24
4293,17,0,24
4293,18,0,24
4293,19,0,24
4293,20,0,24
4293,21,0,24
4293,22,0,24
4293,23,0,24
4293,24,0,24
4295,0,0,24
4295,1,0,24
4295,2,0,24
4295,3,0,24
4295,4,0,24
4295,5,0,24
4295,6,0,24
4295,7,0,24
4295,8,0,24
4295,9,0,24
4295,10,0,24
4295,11,0,24
4295,12,0,24
4295,13,0,24
4295,14,0,24
4295,15,0,24
4295,16,0,24
4295,17,0,24
4295,18,0,24
4295,19,0,24
4295,20,0,24
4295,21,0,24
4295,22,0,24
4295,23,0,24
4295,24,0,24
4296,0,0,12
4296,1,0,12
4296,2,0,12
4296,3,0,12
4296,4,0,12
4296,5,0,12
4296,6,0,12
4296,7,0,12
4296,8,0,12
4296,9,0,12
4296,10,0,12
4296,11,0,12
4296,12,0,12
4296,13,0,12
4296,14,0,12
4296,15,0,12
4296,16,0,12
4296,17,0,12
4296,18,0,12
4296,19,0,12
4296,20,0,12
4296,21,0,12
4296,22,0,12
4296,23,0,12
4296,24,0,12
4298,0,0,12
4298,1,0,12
4298,2,0,12
4298,3,0,12
4298,4,0,12
4298,5,0,12
4298,6,0,12
4298,7,0,12
4298,8,0,12
4298,9,0,12
4298,10,0,12
4298,11,0,12
4298,12,0,12
4298,13,0,12
4298,14,0,12
4298,15,0,12
